Ethnicity,Gender,Age,Admitted,Admit_Type,Application_Term,HS_GPA,Old_SAT,New_SAT,ACT,Enrolled,Scholarship_App,FinAid_Applicant,High_School_Percentile,FirstGen_Ind
Unknown,Female,18.0,Yes,FR,Fall 2021,3.326,,980.0,,No,N,Y,68.0,No
Multi-race,Female,18.0,Yes,FR,Fall 2021,4.0,,1280.0,,No,N,Y,96.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.8837,,,,No,N,Y,99.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.583,,950.0,,No,N,Y,83.0,No
Hispanic,Male,19.0,No,FR,Fall 2021,,,960.0,,No,N,N,,No
White,Female,18.0,Yes,FR,Fall 2021,3.558,,,25.0,Yes,N,Y,74.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.771,,1190.0,,No,N,Y,91.0,No
White,Female,19.0,Yes,FR,Fall 2021,,,1230.0,,Yes,N,Y,90.0,No
Black,Female,19.0,No,FR,Fall 2021,2.818,,,,No,N,Y,,No
Black,Female,18.0,Yes,FR,Fall 2021,3.167,,930.0,,Yes,N,Y,50.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.98,,1130.0,,Yes,N,Y,90.0,No
Hispanic,Female,18.0,No,FR,Fall 2021,3.164,,850.0,,No,N,N,62.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.077,,800.0,,Yes,N,Y,88.0,Yes
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.1,,930.0,,No,N,Y,68.0,No
Unknown,Male,18.0,Yes,FR,Fall 2021,2.81,,1110.0,,No,N,Y,36.0,No
Hispanic,Female,19.0,Yes,FR,Fall 2021,3.35,,840.0,,No,N,Y,,No
White,Female,18.0,Yes,FR,Fall 2021,4.0,,1110.0,,Yes,N,Y,94.0,Yes
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.68,,840.0,,No,N,Y,91.0,No
White,Male,19.0,Yes,FR,Fall 2021,3.66,,1250.0,,Yes,N,Y,78.0,No
White,Male,18.0,Yes,FR,Fall 2021,,,1150.0,,Yes,N,Y,70.0,Yes
Hispanic,Male,19.0,Yes,FR,Fall 2021,3.234,,730.0,,No,N,N,36.0,No
White,Female,19.0,Yes,FR,Fall 2021,3.795,,940.0,,No,N,Y,84.0,No
White,Female,18.0,Yes,FR,Fall 2021,3.942,,980.0,,Yes,N,Y,81.0,Yes
White,Male,19.0,Yes,FR,Fall 2021,3.982,,1180.0,,Yes,N,Y,92.0,No
Black,Male,19.0,Yes,FR,Fall 2021,3.085,,,,Yes,N,Y,49.0,Yes
White,Male,19.0,Yes,FR,Fall 2021,3.446,,,,Yes,N,Y,70.0,Yes
